file,field,shape,dtype
data/reference/results/execution/public_v12/site1_candidate0.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site1_candidate0.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate0.npz,time_h,289,float64
data/reference/results/execution/public_v12/site1_candidate0.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate1.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site1_candidate1.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate1.npz,time_h,289,float64
data/reference/results/execution/public_v12/site1_candidate1.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate11.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site1_candidate11.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate11.npz,time_h,289,float64
data/reference/results/execution/public_v12/site1_candidate11.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate12.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site1_candidate12.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate12.npz,time_h,289,float64
data/reference/results/execution/public_v12/site1_candidate12.npz,production_kg,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate3.npz,states,3 x 289 x 36,float64
data/reference/results/execution/public_v12/site1_candidate3.npz,power_w,3 x 48,float64
data/reference/results/execution/public_v12/site1_candidate3.npz,time_h,289,float64
data/reference/results/execution/public_v12/site1_candidate3.npz,production_kg,3 x 48,float64
